id	Foregut 2	Pharyngeal endoderm	Foregut 1	Midgut	Hindgut 2	Midgut/Hindgut	Hindgut 1	ExE endoderm
cell_12	0.017847376596861957	0.01786694669457853	0.01775371102491474	0.017770018012269472	0.01779076284136192	0.01780670644186066	0.017563472975023833	0.0020108915678474456
cell_20	0.0011636034139335177	0.001144150965322656	0.0012380170001110105	0.001235273855800026	0.0012238692762399893	0.0012047873189574307	0.0014602023510322738	0.005738811742246725
cell_24	0.006250733775380316	0.006239501586558449	0.006283285862375194	0.006289237681981673	0.006287443695575285	0.006274842562760178	0.006429682064710982	0.0009467922719137037
cell_51	0.0003327761213868268	0.0003219579701540272	0.00038288986376693805	0.0003748383236910265	0.0003644517024722769	0.000355180869775667	0.0004900291222980475	0.011869667010459377
cell_55	0.001746145757277593	0.0017166221331646283	0.0018620051280716851	0.0018557111615842736	0.0018370530631693686	0.0018085169109346105	0.0021943123987206814	0.011232728750870533
cell_64	0.009446447840124892	0.009404497171980254	0.009578932511367974	0.009593395151622152	0.009582928473881489	0.009536543363272849	0.010111621417966081	0.0023914160340783716
cell_73	0.0004508876535131873	0.0004356957654343239	0.0005185233350094121	0.0005092869043389021	0.0004959397612581133	0.0004825219451636524	0.0006741902581169433	0.013427647478666037
cell_78	0.0033339286608716928	0.0032834774183657742	0.003517783419533881	0.0035175368250939167	0.0034923933030699375	0.003441261577671859	0.004113106047566688	0.006793923661467409
cell_82	0.0007111449017631559	0.0006989745256708676	0.0007615657114219287	0.0007569582860089909	0.0007480207544750429	0.0007366910200027469	0.0008931793302409108	0.0074950326767431585
cell_83	0.0034953201295326464	0.0034512517960046557	0.003649382754191081	0.0036539010627100734	0.0036352468713026897	0.003589371149903143	0.004181567349691754	0.0027788854238847915
cell_91	0.0033384009548902407	0.0032992746761188003	0.0034801508071567065	0.0034805213078501446	0.0034614438195317136	0.0034216595831718464	0.00394283418144487	0.005894708373284897
cell_96	0.00063503844654703	0.0006162837559671406	0.0007142632905352602	0.0007060652675928447	0.0006915618544891909	0.0006743430905814891	0.0009145459158669737	0.012121015072260592
cell_105	0.0004601680086594701	0.0004459080447047284	0.0005227183082881738	0.0005147408222645571	0.0005026476684530804	0.0004899117512349967	0.00067050861905434	0.011753911899047904
